foodx,foody,snakex,snakey,reward,previousdirection,currentdirection
380,310,380,450,-1,0,
380,310,380,440,1,0,up
380,310,380,430,1,2,up
380,310,380,420,1,2,up
380,310,380,410,1,2,up
380,310,380,400,1,2,up
380,310,380,390,1,2,up
380,310,380,380,1,2,up
380,310,380,370,1,2,up
380,310,380,360,1,2,up
380,310,380,350,1,2,up
380,310,380,340,1,2,up
380,310,380,330,1,2,up
380,310,380,320,1,2,up
510,80,380,310,100,2,up
510,80,380,300,-1,2,up
510,80,380,290,-1,2,up
510,80,380,280,-1,2,up
510,80,380,270,-1,2,up
510,80,380,260,-1,2,up
510,80,380,250,-1,2,up
510,80,380,240,-1,2,up
510,80,380,230,-1,2,up
510,80,380,220,-1,2,up
510,80,380,210,-1,2,up
510,80,380,200,-1,2,up
510,80,380,190,-1,2,up
510,80,380,180,-1,2,up
510,80,380,170,-1,2,up
510,80,380,160,-1,2,up
510,80,380,150,-1,2,up
510,80,380,140,-1,2,up
510,80,380,130,-1,2,up
510,80,380,120,-1,2,up
510,80,380,110,-1,2,up
510,80,380,100,-1,2,up
510,80,380,90,-1,2,up
510,80,380,80,-1,2,up
510,80,380,80,-1,2,up
510,80,390,80,1,2,right
510,80,400,80,1,1,right
510,80,410,80,1,1,right
510,80,420,80,1,1,right
510,80,430,80,1,1,right
510,80,440,80,1,1,right
510,80,450,80,1,1,right
510,80,460,80,1,1,right
510,80,470,80,1,1,right
510,80,480,80,1,1,right
510,80,490,80,1,1,right
510,80,500,80,1,1,right
390,160,510,80,100,1,right
390,160,520,80,-1,1,right
390,160,530,80,-1,1,right
390,160,540,80,-1,1,right
390,160,550,80,-1,1,right
390,160,560,80,-1,1,right
390,160,570,80,-1,1,right
390,160,580,80,-1,1,right
390,160,590,80,-1,1,right
390,160,600,80,-1,1,right
390,160,0,80,-1,1,right
390,160,10,80,-1,1,right
390,160,20,80,-1,1,right
390,160,30,80,-1,1,right
390,160,40,80,-1,1,right
390,160,50,80,-1,1,right
390,160,60,80,-1,1,right
390,160,70,80,-1,1,right
390,160,80,80,-1,1,right
390,160,90,80,-1,1,right
390,160,100,80,1,1,right
390,160,110,80,1,1,right
390,160,120,80,1,1,right
390,160,130,80,1,1,right
390,160,140,80,1,1,right
390,160,150,80,1,1,right
390,160,160,80,1,1,right
390,160,170,80,1,1,right
390,160,180,80,1,1,right
390,160,190,80,1,1,right
390,160,200,80,1,1,right
390,160,210,80,1,1,right
390,160,220,80,1,1,right
390,160,230,80,1,1,right
390,160,240,80,1,1,right
390,160,250,80,1,1,right
390,160,260,80,1,1,right
390,160,270,80,1,1,right
390,160,280,80,1,1,right
390,160,290,80,1,1,right
390,160,300,80,1,1,right
390,160,310,80,1,1,right
390,160,320,80,1,1,right
390,160,330,80,1,1,right
390,160,340,80,1,1,right
390,160,350,80,1,1,right
390,160,360,80,1,1,right
390,160,370,80,1,1,right
390,160,380,80,1,1,right
390,160,390,80,-1,1,right
390,160,390,80,-1,1,right
390,160,390,90,1,1,down
390,160,390,100,1,3,down
390,160,390,110,1,3,down
390,160,390,120,1,3,down
390,160,390,130,1,3,down
390,160,390,140,1,3,down
390,160,390,150,1,3,down
440,500,390,160,100,3,down
440,500,390,170,-1,3,down
440,500,390,180,-1,3,down
440,500,390,190,-1,3,down
440,500,390,200,-1,3,down
440,500,390,210,-1,3,down
440,500,390,220,-1,3,down
440,500,390,230,-1,3,down
440,500,390,240,-1,3,down
440,500,390,250,-1,3,down
440,500,390,260,-1,3,down
440,500,390,270,-1,3,down
440,500,390,280,-1,3,down
440,500,390,290,-1,3,down
440,500,390,300,-1,3,down
440,500,390,310,-1,3,down
440,500,390,320,-1,3,down
440,500,390,330,-1,3,down
440,500,390,340,-1,3,down
440,500,390,350,-1,3,down
440,500,390,360,-1,3,down
440,500,390,370,-1,3,down
440,500,390,380,-1,3,down
440,500,390,390,-1,3,down
440,500,390,400,-1,3,down
440,500,390,410,-1,3,down
440,500,390,420,-1,3,down
440,500,390,430,-1,3,down
440,500,390,440,-1,3,down
440,500,390,450,-1,3,down
440,500,390,460,-1,3,down
440,500,390,470,-1,3,down
440,500,390,480,-1,3,down
440,500,390,490,-1,3,down
440,500,390,500,-1,3,down
440,500,390,500,-1,3,down
440,500,400,500,1,3,right
440,500,410,500,1,1,right
440,500,420,500,1,1,right
440,500,430,500,1,1,right
290,350,440,500,100,1,right
290,350,450,500,-1,1,right
290,350,460,500,-1,1,right
290,350,470,500,-1,1,right
290,350,480,500,-1,1,right
290,350,490,500,-1,1,right
290,350,500,500,-1,1,right
290,350,510,500,-1,1,right
290,350,520,500,-1,1,right
290,350,530,500,-1,1,right
290,350,540,500,-1,1,right
290,350,550,500,-1,1,right
290,350,560,500,-1,1,right
290,350,570,500,-1,1,right
290,350,580,500,-1,1,right
290,350,590,500,-1,1,right
290,350,600,500,1,1,right
290,350,0,500,-1,1,right
290,350,10,500,1,1,right
290,350,20,500,1,1,right
290,350,30,500,1,1,right
290,350,40,500,1,1,right
290,350,50,500,1,1,right
290,350,60,500,1,1,right
290,350,70,500,1,1,right
290,350,80,500,1,1,right
290,350,90,500,1,1,right
290,350,100,500,1,1,right
290,350,110,500,1,1,right
290,350,120,500,1,1,right
290,350,130,500,1,1,right
290,350,140,500,1,1,right
290,350,150,500,1,1,right
290,350,160,500,1,1,right
290,350,170,500,1,1,right
290,350,180,500,1,1,right
290,350,190,500,1,1,right
290,350,200,500,1,1,right
290,350,210,500,1,1,right
290,350,220,500,1,1,right
290,350,230,500,1,1,right
290,350,240,500,1,1,right
290,350,250,500,1,1,right
290,350,260,500,1,1,right
290,350,270,500,1,1,right
290,350,280,500,1,1,right
290,350,290,500,-1,1,right
290,350,290,500,-1,1,right
290,350,290,490,1,1,up
290,350,290,480,1,2,up
290,350,290,470,1,2,up
290,350,290,460,1,2,up
290,350,290,450,1,2,up
290,350,290,440,1,2,up
290,350,290,430,1,2,up
290,350,290,420,1,2,up
290,350,290,410,1,2,up
290,350,290,400,1,2,up
290,350,290,390,1,2,up
290,350,290,380,1,2,up
290,350,290,370,1,2,up
290,350,290,360,1,2,up
130,460,290,350,100,2,up
130,460,290,340,-1,2,up
130,460,290,330,-1,2,up
130,460,290,320,-1,2,up
130,460,290,310,-1,2,up
130,460,290,300,-1,2,up
130,460,290,290,-1,2,up
130,460,290,280,-1,2,up
130,460,290,270,-1,2,up
130,460,290,260,-1,2,up
130,460,290,250,-1,2,up
130,460,290,240,-1,2,up
130,460,290,230,-1,2,up
130,460,290,220,-1,2,up
130,460,290,210,-1,2,up
130,460,290,200,-1,2,up
130,460,290,190,-1,2,up
130,460,290,180,-1,2,up
130,460,290,170,-1,2,up
130,460,290,160,-1,2,up
130,460,290,150,-1,2,up
130,460,290,140,-1,2,up
130,460,290,130,-1,2,up
130,460,290,120,-1,2,up
130,460,290,110,-1,2,up
130,460,290,100,-1,2,up
130,460,290,90,-1,2,up
130,460,290,80,-1,2,up
130,460,290,70,-1,2,up
130,460,290,60,-1,2,up
130,460,290,50,-1,2,up
130,460,290,40,-1,2,up
130,460,290,30,-1,2,up
130,460,290,20,-1,2,up
130,460,290,10,-1,2,up
130,460,290,0,-1,2,up
130,460,290,590,-1,2,up
130,460,290,580,-1,2,up
130,460,290,570,-1,2,up
130,460,290,560,-1,2,up
130,460,290,550,-1,2,up
130,460,290,540,-1,2,up
130,460,290,530,-1,2,up
130,460,290,520,-1,2,up
130,460,290,510,-1,2,up
130,460,290,500,-1,2,up
130,460,290,490,-1,2,up
130,460,290,480,-1,2,up
130,460,290,470,-1,2,up
130,460,290,460,-1,2,up
130,460,290,460,-1,2,up
130,460,280,460,1,2,left
130,460,270,460,1,0,left
130,460,260,460,1,0,left
130,460,250,460,1,0,left
130,460,240,460,1,0,left
130,460,230,460,1,0,left
130,460,220,460,1,0,left
130,460,210,460,1,0,left
130,460,200,460,1,0,left
130,460,190,460,1,0,left
130,460,180,460,1,0,left
130,460,170,460,1,0,left
130,460,160,460,1,0,left
130,460,150,460,1,0,left
130,460,140,460,1,0,left
80,580,130,460,100,0,left
80,580,120,460,1,0,left
80,580,110,460,1,0,left
80,580,100,460,1,0,left
80,580,90,460,1,0,left
80,580,80,460,-1,0,left
80,580,80,460,-1,0,left
80,580,80,470,1,0,down
80,580,80,480,1,3,down
80,580,80,490,1,3,down
80,580,80,500,1,3,down
80,580,80,510,1,3,down
80,580,80,520,1,3,down
80,580,80,530,1,3,down
80,580,80,540,1,3,down
80,580,80,550,1,3,down
80,580,80,560,1,3,down
80,580,80,570,1,3,down
10,220,80,580,100,3,down
10,220,80,590,-1,3,down
10,220,80,600,-1,3,down
10,220,80,0,-1,3,down
10,220,80,10,-1,3,down
10,220,80,20,-1,3,down
10,220,80,30,-1,3,down
10,220,80,40,-1,3,down
10,220,80,50,-1,3,down
10,220,80,60,-1,3,down
10,220,80,70,-1,3,down
10,220,80,80,-1,3,down
10,220,80,90,-1,3,down
10,220,80,100,-1,3,down
10,220,80,110,-1,3,down
10,220,80,120,-1,3,down
10,220,80,130,-1,3,down
10,220,80,140,-1,3,down
10,220,80,150,-1,3,down
10,220,80,160,-1,3,down
10,220,80,170,-1,3,down
10,220,80,180,-1,3,down
10,220,80,190,-1,3,down
10,220,80,200,-1,3,down
10,220,80,210,-1,3,down
10,220,80,220,-1,3,down
10,220,80,220,-1,3,down
10,220,70,220,1,3,left
10,220,60,220,1,0,left
10,220,50,220,1,0,left
10,220,40,220,1,0,left
10,220,30,220,1,0,left
10,220,20,220,1,0,left
100,130,10,220,100,0,left
100,130,0,220,-1,0,left
100,130,590,220,-1,0,left
100,130,580,220,-1,0,left
100,130,570,220,-1,0,left
100,130,560,220,-1,0,left
100,130,550,220,-1,0,left
100,130,540,220,-1,0,left
100,130,530,220,-1,0,left
100,130,520,220,-1,0,left
100,130,510,220,-1,0,left
100,130,500,220,-1,0,left
100,130,490,220,-1,0,left
100,130,480,220,-1,0,left
100,130,470,220,-1,0,left
100,130,460,220,-1,0,left
100,130,450,220,-1,0,left
100,130,440,220,-1,0,left
100,130,430,220,-1,0,left
100,130,420,220,-1,0,left
100,130,410,220,-1,0,left
100,130,400,220,-1,0,left
100,130,390,220,1,0,left
100,130,380,220,1,0,left
100,130,370,220,1,0,left
100,130,360,220,1,0,left
100,130,350,220,1,0,left
100,130,340,220,1,0,left
100,130,330,220,1,0,left
100,130,320,220,1,0,left
100,130,310,220,1,0,left
100,130,300,220,1,0,left
100,130,290,220,1,0,left
100,130,280,220,1,0,left
100,130,270,220,1,0,left
100,130,260,220,1,0,left
100,130,250,220,1,0,left
100,130,240,220,1,0,left
100,130,230,220,1,0,left
100,130,220,220,1,0,left
100,130,210,220,1,0,left
100,130,200,220,1,0,left
100,130,190,220,1,0,left
100,130,180,220,1,0,left
100,130,170,220,1,0,left
100,130,160,220,1,0,left
100,130,150,220,1,0,left
100,130,140,220,1,0,left
100,130,130,220,1,0,left
100,130,120,220,1,0,left
100,130,110,220,1,0,left
100,130,100,220,-1,0,left
100,130,100,220,-1,0,left
100,130,100,210,1,0,up
100,130,100,200,1,2,up
100,130,100,190,1,2,up
100,130,100,180,1,2,up
100,130,100,170,1,2,up
100,130,100,160,1,2,up
100,130,100,150,1,2,up
100,130,100,140,1,2,up
560,380,100,130,100,2,up
560,380,100,120,-1,2,up
560,380,100,110,-1,2,up
560,380,100,100,-1,2,up
560,380,100,90,-1,2,up
560,380,100,80,-1,2,up
560,380,100,70,-1,2,up
560,380,100,60,-1,2,up
560,380,100,50,-1,2,up
560,380,100,40,-1,2,up
560,380,100,30,-1,2,up
560,380,100,20,-1,2,up
560,380,100,10,-1,2,up
560,380,100,0,-1,2,up
560,380,100,590,-1,2,up
560,380,100,580,-1,2,up
560,380,100,570,-1,2,up
560,380,100,560,-1,2,up
560,380,100,550,-1,2,up
560,380,100,540,-1,2,up
560,380,100,530,-1,2,up
560,380,100,520,-1,2,up
560,380,100,510,-1,2,up
560,380,100,500,-1,2,up
560,380,100,490,-1,2,up
560,380,100,480,-1,2,up
560,380,100,470,-1,2,up
560,380,100,460,-1,2,up
560,380,100,450,-1,2,up
560,380,100,440,-1,2,up
560,380,100,430,-1,2,up
560,380,100,420,-1,2,up
560,380,100,410,-1,2,up
560,380,100,400,-1,2,up
560,380,100,390,-1,2,up
560,380,100,380,-1,2,up
560,380,100,380,-1,2,up
560,380,110,380,-1,2,right
560,380,120,380,-1,1,right
560,380,130,380,-1,1,right
560,380,140,380,-1,1,right
560,380,150,380,-1,1,right
560,380,160,380,-1,1,right
560,380,170,380,-1,1,right
560,380,180,380,-1,1,right
560,380,190,380,-1,1,right
560,380,200,380,-1,1,right
560,380,210,380,-1,1,right
560,380,220,380,-1,1,right
560,380,230,380,-1,1,right
560,380,240,380,-1,1,right
560,380,250,380,-1,1,right
560,380,260,380,-1,1,right
560,380,270,380,1,1,right
560,380,280,380,1,1,right
560,380,290,380,1,1,right
560,380,300,380,1,1,right
560,380,310,380,1,1,right
560,380,320,380,1,1,right
560,380,330,380,1,1,right
560,380,340,380,1,1,right
560,380,350,380,1,1,right
560,380,360,380,1,1,right
560,380,370,380,1,1,right
560,380,380,380,1,1,right
560,380,390,380,1,1,right
560,380,400,380,1,1,right
560,380,410,380,1,1,right
560,380,420,380,1,1,right
560,380,430,380,1,1,right
560,380,440,380,1,1,right
560,380,450,380,1,1,right
560,380,460,380,1,1,right
